movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning,poster_url,director,overview
movie_0001,The Shawshank Redemption,Movie,Drama,,1994,142.0,A,English,USA,9.3,,28341469.0,,,False,2022-03-04,False,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX600.jpg,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
movie_0002,The Godfather,Movie,Crime,Drama,1972,175.0,A,English,USA,9.2,,134966411.0,,,False,2016-04-01,True,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX600.jpg,Francis Ford Coppola,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
movie_0003,The Dark Knight,Movie,Action,Crime,2008,152.0,UA,English,USA,9.0,,534858444.0,,,False,2015-04-13,True,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@._V1_SX600.jpg,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
movie_0004,The Godfather: Part II,Movie,Crime,Drama,1974,202.0,A,English,USA,9.0,,57300000.0,,,False,2023-04-26,True,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX600.jpg,Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
movie_0005,12 Angry Men,Movie,Crime,Drama,1957,96.0,U,English,USA,9.0,,4360000.0,,,False,2018-01-31,True,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX600.jpg,Sidney Lumet,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
movie_0006,The Lord of the Rings: The Return of the King,Movie,Action,Adventure,2003,201.0,U,English,USA,8.9,,377845905.0,,,False,2017-09-30,False,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX600.jpg,Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
movie_0007,Pulp Fiction,Movie,Crime,Drama,1994,154.0,A,English,USA,8.9,,107928762.0,,,False,2017-07-03,True,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX600.jpg,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
movie_0008,Schindler's List,Movie,Biography,Drama,1993,195.0,A,English,USA,8.9,,96898818.0,,,False,2016-07-25,False,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX600.jpg,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
movie_0009,Inception,Movie,Action,Adventure,2010,148.0,UA,English,USA,8.8,,292576195.0,,,False,2023-04-05,False,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@._V1_SX600.jpg,Christopher Nolan,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
movie_0010,Fight Club,Movie,Drama,,1999,139.0,A,English,USA,8.8,,37030102.0,,,False,2016-02-24,False,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX600.jpg,David Fincher,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
